,,Name,Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
25,,@sergiofajardo3620,"2025-11-13 17:50:15",1,yes,no,"Nuevamente dejando afuera a Parisi de fondo",UCWCmb942yseMZEPuvz5ZnmA,UgydhRrXavYZjunmgoJ4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgydhRrXavYZjunmgoJ4AaABAg
26,,@CarlosJara-b5d,"2025-11-14 17:50:09",1,yes,no,"Estos candidatos no saben nada de economía , proponen subir sueldos aunque sean tres millones el sueldo básico va a ser lo mismo , mientras no se controlen los precios , acuérdate de los 10 por ciento, la gente tuvo dinero y se lo llevaron , Sodimac y todos las grandes tiendas comerciales , y súper mermecados porque nadie controla los precios de los productos , aunque el sueldo básico sea de 10 millones siempre va a ser lo mismo",UCeU7UMQXwt6W1ww6kJtSq3g,UgxlG-XWlCGIRjv7Vx94AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgxlG-XWlCGIRjv7Vx94AaABAg
27,,@Lenkiwi,"2025-11-14 17:50:09",1,yes,no,"kaiser o parisi. ...",UCq1mp09fZi5hjm3axmOuFjw,UgxuymGI4aXAjBUQUG94AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgxuymGI4aXAjBUQUG94AaABAg
28,,@axop2051,"2025-11-14 17:50:09",1,yes,no,"CUÁNTA HIPOCRESÍA DA CANDIDATA DO SISTEMA, JARA!!!POR QUÊ BORIC, LUNÁTICO, NO LO HIZO???",UCieXeQ4aZC0DvMyqc5iFTJQ,Ugzsw3fii35P01P_gGR4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugzsw3fii35P01P_gGR4AaABAg
29,,@ligiacid5575,"2025-11-14 17:50:09",1,yes,no,"Yo les pregunto… Se dan cuenta que en cada pregunta los candidatos de DERECHA… “dicen…NO TENER INFORMACIÓN?, se dan cuenta que NUNCA dicen algo CONCRETO, DIRECTO… dan vueltas y vueltas con las palabras para no decir NADA?. Y lamentablemente eso en los chilenos prende porque perdieron ser autocritico, entre el Océano y la Cordillera, Chile es CERRADO y no VEN al OTRO… al OTRO a que tiene al lado… a su familia, a sus vecinos, a sus compañeros de trabajo, menos pueden VER que pasa en los Países de fronteras VECINOS… No se llevan bien con Perú, discriminan a Bolivia, envidian a Argentina por la baja autoestima que obviamente fomenta un país que SOLO vende SERVICIOS como una “buena ECONOMIA”. En Chile Las PYMES sobreviven y SON las que más trabajadores tienen, NO TENEMOS FÁBRICAS que son las que garantizan tener TRABAJO, no tenemos SINDICATOSy ORGANIZACIONES que nos DEFIENDAN de los ABUSOS y nos deja DESPROTEGIDOS. No tenemos ACCESO A tener un ABOGADO, O SEA… A LA JUSTICIA, Muchos NO TIENEN ACCESO A LA SALUD , a una EDUCACIÓN UNIVERSITARIA GRATUITA! Son las cosas… por lo que los chilenos tenemos BAJA AUTOESTIMA… ni siquiera con la “Rojita” nos podemos sentir orgullosos realmente. Es HORA DE DESPERTAR CHILENOS! RUEGO QUE SEPAN METER BIEN EL VOTO! Y dejar de votar A la DERECHA RECALCITRANTE NEOLIBERAL que nos ha convertido en ESCLAVO … del mundo.",UCuj1wyg42sziDQ9aWV1pf4Q,UgwNLVusXTh88Dvq97Z4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgwNLVusXTh88Dvq97Z4AaABAg
30,,@nicolasmolinav2218,"2025-11-14 17:50:09",1,yes,no,"El que no vota Parisi es muy aweonao, imposible no votarlo, es que hay que ser muy imbécil. Habla y los demás aprenden para después ofrecer lo mismo, ya pasó con Boric cuando le copió todo para la segunda vuelta, ahora Kast le copia lo de los beneficios 😂",UCS3lNCj_47pHvl2ajB97epw,Ugw4YqLjrtMEQ9-Kwnd4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugw4YqLjrtMEQ9-Kwnd4AaABAg
31,,@pablocesararayaibarra1768,"2025-11-14 17:50:09",1,yes,no,"El pc freno todas las medidas que se necesitaban tomar  contra la violencia en la araucania durante el gobierno de piñera",UC7r1sjx4vCt_Y1Eqnx6ootA,Ugx9cJtUTDBlLZ6UwT54AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=Ugx9cJtUTDBlLZ6UwT54AaABAg
32,,@rolandobarrera3487,"2025-11-14 17:50:09",1,yes,no,"De los5 el Astorga. Es el más confiable.",UCqrqYwTIxvwydpWaqlSQPvg,UgzmNXS-kqqiGFktQaZ4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgzmNXS-kqqiGFktQaZ4AaABAg
33,,@yulvymontilla8129,"2025-11-14 17:50:09",1,yes,no,"El gobierno en curso la subió y ella piensa bajarlo mentirassssssss jara mentirosa",UCG81zJ2irt08gsLd-Opk68w,UgyZkEx-f2RSAZVVs1V4AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgyZkEx-f2RSAZVVs1V4AaABAg
34,,@yulvymontilla8129,"2025-11-14 17:50:09",1,yes,no,"Expropiar la energía y nacionalizada el fracaso más grande propuesto",UCG81zJ2irt08gsLd-Opk68w,UgyGyw0gB-HAZp8a6L94AaABAg,https://www.youtube.com/watch?v=ROZF8FNCdxE&lc=UgyGyw0gB-HAZp8a6L94AaABAg
